person_id,start_frame,end_frame,label,reason,source
0,6,324,0,MANUAL,MANUAL
0,339,480,1,MANUAL,MANUAL
0,534,703,0,MANUAL,MANUAL
0,710,1017,1,MANUAL,MANUAL
18,1066,1505,0,MANUAL,MANUAL
18,1531,1571,1,MANUAL,MANUAL
18,1576,1920,0,MANUAL,MANUAL
1,10,301,0,MANUAL,MANUAL
18,10,301,0,MANUAL,MANUAL
3,10,301,0,MANUAL,MANUAL
1,313,548,1,MANUAL,MANUAL
18,313,548,1,MANUAL,MANUAL
3,313,548,1,MANUAL,MANUAL
1,583,806,0,MANUAL,MANUAL
3,583,806,0,MANUAL,MANUAL
13,583,806,0,MANUAL,MANUAL
18,583,806,0,MANUAL,MANUAL
1,820,846,1,MANUAL,MANUAL
3,820,846,1,MANUAL,MANUAL
13,820,846,1,MANUAL,MANUAL
18,820,846,1,MANUAL,MANUAL
1,867,1174,0,MANUAL,MANUAL
3,867,1174,0,MANUAL,MANUAL
13,867,1174,0,MANUAL,MANUAL
18,867,1174,0,MANUAL,MANUAL
1,1181,1742,1,MANUAL,MANUAL
3,1181,1742,1,MANUAL,MANUAL
13,1181,1742,1,MANUAL,MANUAL
1,1763,1920,0,MANUAL,MANUAL
3,1763,1920,0,MANUAL,MANUAL
13,1763,1920,0,MANUAL,MANUAL
29,1763,1920,0,MANUAL,MANUAL
2,24,752,0,MANUAL,MANUAL
4,24,752,0,MANUAL,MANUAL
15,24,752,0,MANUAL,MANUAL
29,24,752,0,MANUAL,MANUAL
2,794,1003,1,MANUAL,MANUAL
4,794,1003,1,MANUAL,MANUAL
15,794,1003,1,MANUAL,MANUAL
29,794,1003,1,MANUAL,MANUAL
0,1041,1200,0,MANUAL,MANUAL
2,1041,1200,0,MANUAL,MANUAL
4,1041,1200,0,MANUAL,MANUAL
15,1041,1200,0,MANUAL,MANUAL
23,1041,1200,0,MANUAL,MANUAL
29,1041,1200,0,MANUAL,MANUAL
0,1233,1742,1,MANUAL,MANUAL
2,1233,1742,1,MANUAL,MANUAL
4,1233,1742,1,MANUAL,MANUAL
15,1233,1742,1,MANUAL,MANUAL
23,1233,1742,1,MANUAL,MANUAL
29,1233,1742,1,MANUAL,MANUAL
0,1756,1920,0,MANUAL,MANUAL
2,1756,1920,0,MANUAL,MANUAL
4,1756,1920,0,MANUAL,MANUAL
15,1756,1920,0,MANUAL,MANUAL
23,1756,1920,0,MANUAL,MANUAL
29,1756,1920,0,MANUAL,MANUAL
