person_id,start_frame,end_frame,label,reason,source
1,126,529,1,MANUAL,MANUAL
2,126,529,1,MANUAL,MANUAL
2,532,767,0,MANUAL,MANUAL
10,532,767,0,MANUAL,MANUAL
2,935,996,0,MANUAL,MANUAL
14,935,996,0,MANUAL,MANUAL
2,1062,1736,1,MANUAL,MANUAL
18,1062,1736,1,MANUAL,MANUAL
15,1062,1736,1,MANUAL,MANUAL
33,2470,2915,1,MANUAL,MANUAL
2,2470,2915,1,MANUAL,MANUAL
37,2470,2915,1,MANUAL,MANUAL
2,2666,2687,1,MANUAL,MANUAL
37,2666,2687,1,MANUAL,MANUAL
39,2666,2687,1,MANUAL,MANUAL
2,3306,3316,1,MANUAL,MANUAL
33,3306,3316,1,MANUAL,MANUAL
37,3306,3316,1,MANUAL,MANUAL
0,159,337,0,MANUAL,MANUAL
2,159,337,0,MANUAL,MANUAL
37,159,337,0,MANUAL,MANUAL
5,159,337,0,MANUAL,MANUAL
2,574,971,1,MANUAL,MANUAL
0,574,971,1,MANUAL,MANUAL
37,574,971,1,MANUAL,MANUAL
17,999,1745,1,MANUAL,MANUAL
2,999,1745,1,MANUAL,MANUAL
16,999,1745,1,MANUAL,MANUAL
37,999,1745,1,MANUAL,MANUAL
2,1781,2307,1,MANUAL,MANUAL
37,1781,2307,1,MANUAL,MANUAL
16,1781,2307,1,MANUAL,MANUAL
17,1781,2307,1,MANUAL,MANUAL
24,1781,2307,1,MANUAL,MANUAL
25,1781,2307,1,MANUAL,MANUAL
29,1781,2307,1,MANUAL,MANUAL
32,2428,2542,1,MANUAL,MANUAL
2,2428,2542,1,MANUAL,MANUAL
36,2428,2542,1,MANUAL,MANUAL
37,2428,2542,1,MANUAL,MANUAL
16,2428,2542,1,MANUAL,MANUAL
32,2948,3219,1,MANUAL,MANUAL
2,2948,3219,1,MANUAL,MANUAL
36,2948,3219,1,MANUAL,MANUAL
16,2948,3219,1,MANUAL,MANUAL
