person_id,start_frame,end_frame,label,reason,source
0,58,122,0,MANUAL,MANUAL
0,181,457,1,MANUAL,MANUAL
6,479,488,1,MANUAL,MANUAL
1,176,574,1,MANUAL,MANUAL
7,801,1108,1,MANUAL,MANUAL
2,801,1000,1,MANUAL,MANUAL
1,1253,1606,1,MANUAL,MANUAL
6,1670,1742,0,MANUAL,MANUAL
6,1765,2041,1,MANUAL,MANUAL
18,2118,2154,0,MANUAL,MANUAL
19,2118,2154,0,MANUAL,MANUAL
19,2249,2281,0,MANUAL,MANUAL
7,1828,1878,0,MANUAL,MANUAL
20,2059,2091,0,MANUAL,MANUAL
7,2236,2611,1,MANUAL,MANUAL
25,2236,2611,1,MANUAL,MANUAL
32,2625,3299,0,MANUAL,MANUAL
7,2625,3299,0,MANUAL,MANUAL
25,2625,3299,0,MANUAL,MANUAL
33,2883,3073,1,MANUAL,MANUAL
34,2883,3073,1,MANUAL,MANUAL
35,2883,3073,1,MANUAL,MANUAL
25,2883,3073,1,MANUAL,MANUAL
32,3304,3607,1,MANUAL,MANUAL
34,3304,3607,1,MANUAL,MANUAL
25,3304,3607,1,MANUAL,MANUAL
30,3304,3607,1,MANUAL,MANUAL
34,3607,3652,1,MANUAL,MANUAL
32,3607,3652,1,MANUAL,MANUAL
25,3607,3652,1,MANUAL,MANUAL
34,3752,4032,1,MANUAL,MANUAL
7,3752,4032,1,MANUAL,MANUAL
47,3752,4032,1,MANUAL,MANUAL
25,3752,4032,1,MANUAL,MANUAL
34,3928,4010,0,MANUAL,MANUAL
45,3928,4010,0,MANUAL,MANUAL
25,3928,4010,0,MANUAL,MANUAL
34,4114,4223,0,MANUAL,MANUAL
45,4114,4223,0,MANUAL,MANUAL
25,4114,4223,0,MANUAL,MANUAL
34,4223,4490,1,MANUAL,MANUAL
52,4223,4490,1,MANUAL,MANUAL
25,4223,4490,1,MANUAL,MANUAL
