person_id,start_frame,end_frame,label,reason,source
0,15,119,0,MANUAL,MANUAL
0,119,431,1,MANUAL,MANUAL
0,431,1216,0,MANUAL,MANUAL
9,431,1216,0,MANUAL,MANUAL
9,6,131,0,MANUAL,MANUAL
1,6,131,0,MANUAL,MANUAL
9,131,455,1,MANUAL,MANUAL
1,131,455,1,MANUAL,MANUAL
9,455,621,0,MANUAL,MANUAL
1,455,621,0,MANUAL,MANUAL
1,621,1136,1,MANUAL,MANUAL
1,1156,1216,0,MANUAL,MANUAL
2,16,640,0,MANUAL,MANUAL
2,662,1121,1,MANUAL,MANUAL
7,662,1121,1,MANUAL,MANUAL
11,662,1121,1,MANUAL,MANUAL
2,1135,1216,0,MANUAL,MANUAL
7,1135,1216,0,MANUAL,MANUAL
11,1135,1216,0,MANUAL,MANUAL
15,1135,1216,0,MANUAL,MANUAL
